cve_ent,entidad,cve_alc,alc,cve_col,colonia,clasif,SISTEMA,NOMBRE,LINEA,EST,CVE_EOD17,TIPO,ALCALDIAS,AÑO,CVE_EST
09,Ciudad de México,006,Iztacalco,006-021,Gabriel Ramos Millan Seccion Bramadero,Colonia,Metrobús,Iztacalco,02,23,11064,Intermedia,Iztacalco,2008,MB0223
09,Ciudad de México,006,Iztacalco,006-023,Granjas Mexico,Colonia,Metrobús,UPIICSA,02,24,11080,Intermedia,Iztacalco,2008,MB0224
09,Ciudad de México,006,Iztacalco,006-016,El Rodeo,Colonia,Metrobús,El Rodeo,02,25,11060,Intermedia,Iztacalco,2008,MB0225
09,Ciudad de México,007,Iztapalapa,007-148,Real Del Moral,Colonia,Metrobús,Río Tecolutla,02,26,11075,Intermedia,Iztapalapa,2008,MB0226
09,Ciudad de México,007,Iztapalapa,007-055,Dr Alfonso Ortiz Tirado,Colonia,Metrobús,Río Mayo,02,27,11074,Intermedia,Iztapalapa,2008,MB0227
09,Ciudad de México,007,Iztapalapa,007-055,Dr Alfonso Ortiz Tirado,Colonia,Metrobús,Rojo Gómez,02,28,11076,Intermedia,Iztapalapa,2008,MB0228
09,Ciudad de México,006,Iztacalco,006-001,Agricola Oriental,Colonia,Metrobús,Río Frío,02,29,11073,Intermedia,Iztacalco / Iztapalapa,2008,MB0229
09,Ciudad de México,007,Iztapalapa,007-051,Cuchilla Del Moral,Colonia,Metrobús,Del Moral,02,30,11058,Intermedia,Iztapalapa,2008,MB0230
09,Ciudad de México,006,Iztacalco,006-001,Agricola Oriental,Colonia,Metrobús,Leyes de Reforma,02,31,11067,Intermedia,Iztacalco / Iztapalapa,2008,MB0231
09,Ciudad de México,007,Iztapalapa,007-045,Chinampac De Juarez,Colonia,Metrobús,CCH Oriente,02,32,11053,Intermedia,Iztacalco / Iztapalapa,2008,MB0232
09,Ciudad de México,007,Iztapalapa,007-189,Unidad Ejercito Constitucionalista,Colonia,Metrobús,Const. de Apatzingán,02,33,11055,Intermedia,Iztacalco / Iztapalapa,2008,MB0233
09,Ciudad de México,007,Iztapalapa,007-188,Tepalcates,Colonia,Metrobús,Canal de San Juan,02,34,11051,Intermedia,Iztapalapa,2008,MB0234
